what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343116911744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343116917557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343116920994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1343116926541
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343116927729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343116932744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343116934900
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343116936838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343116938979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343116940119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343116955697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343116966557
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343116968541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343116974619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343116985119
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343116985229
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343116985322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343116989838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343116994494
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343116996666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343116998525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117003385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1343117003416
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1343117003416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117005525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117005557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117005635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117032135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117038150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117045369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1343117045400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1343117045400
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117057166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343117059072
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117061041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343117066494
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343117069182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117074666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117081744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1343117081869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1343117081869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117090213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117097479
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1343117099791
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1343117099807
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1343117099900
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343117100010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117108791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117110135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117116994
started,bundle,org.codehaus.groovy.eclipse.refactoring,2.6.0.xx-20111212-0800-e36-RELEASE,"org.codehaus.groovy.eclipse.refactoring",1343117121338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117121541
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343117121572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117129354
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343117172619
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117210760
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117218416
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117222010
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1343117235494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117236994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117238166
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117252557
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117285572
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343117331541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117347947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117361385
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117373838
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343117395463
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343117448682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117467416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117467994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117468932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117469088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117469088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117469682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117470135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117470869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117471275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117472182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117472635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117473916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117474635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117573494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117579932
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1343117584791
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1343117584932
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1343117584932
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1343117585088
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1343117585697
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1343117586104
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1343117586229
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1343117586354
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1343117600354
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343117600400
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1343117600494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117600572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1343117600666
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1343117601322
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1343117601463
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343117602900
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1343117607150
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1343117607322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343117610682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117612291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117612307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117612432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117618557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343117621338
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1343117622338
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1343117622400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343117622557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343117629447
